Nome Parlamentar;Partido;UF;Titular/Suplente/Efetivado;Endereço;Anexo;Endereço (continuação);Gabinete;Endereço (complemento);Telefone;Fax;Mês Aniversário;Dia Aniversário;Correio Eletrônico;Nome sem Acento;Tratamento;Nome Civil;PEC135/19
Abílio Santana;PL;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;531;Brasília - DF - CEP 70160-900;3215-5531;3215-2531;2;13;dep.abiliosantana@camara.leg.br;Abilio Santana;Exmo. Senhor Deputado;JOSE ABILIO SILVA DE SANTANA;
Abou Anni;PSL;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;339;Brasília - DF - CEP 70160-900;3215-5339;3215-2339;11;6;dep.abouanni@camara.leg.br;Abou Anni;Exmo. Senhor Deputado;PAULO SERGIO ABOU ANNI;1
Acácio Favacho;PROS;AP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;409;Brasília - DF - CEP 70160-900;3215-5409;3215-2409;9;28;dep.acaciofavacho@camara.leg.br;Acacio Favacho;Exmo. Senhor Deputado;ACÁCIO DA SILVA FAVACHO NETO;
Adolfo Viana;PSDB;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;911;Brasília - DF - CEP 70160-900;3215-5911;3215-2911;2;2;dep.adolfoviana@camara.leg.br;Adolfo Viana;Exmo. Senhor Deputado;ADOLFO VIANA DE CASTRO NETO;
Adriana Ventura;NOVO;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;802;Brasília - DF - CEP 70160-900;3215-5802;3215-2802;3;6;dep.adrianaventura@camara.leg.br;Adriana Ventura;Exma. Senhora Deputada;ADRIANA MIGUEL VENTURA;0
Adriano do Baldy;PP;GO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;419;Brasília - DF - CEP 70160-900;3215-5419;3215-2419;9;6;dep.adrianodobaldy@camara.leg.br;Adriano do Baldy;Exmo. Senhor Deputado;ADRIANO ANTÔNIO AVELAR;
Aécio Neves;PSDB;MG;T;Câmara dos Deputados, Edifício Anexo;0;, gabinete nº;20;Brasília - DF - CEP 70160-900;3215-5964;3215-2964;3;10;dep.aecioneves@camara.leg.br;Aecio Neves;Exmo. Senhor Deputado;AÉCIO NEVES DA CUNHA;abstencao
Aelton Freitas;PL;MG;E;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;481;Brasília - DF - CEP 70160-900;3215-5481;3215-2481;12;15;dep.aeltonfreitas@camara.leg.br;Aelton Freitas;Exmo. Senhor Deputado;AELTON JOSÉ DE FREITAS;0
Afonso Florence;PT;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;305;Brasília - DF - CEP 70160-900;3215-5305;3215-2305;10;15;dep.afonsoflorence@camara.leg.br;Afonso Florence;Exmo. Senhor Deputado;AFONSO BANDEIRA FLORENCE;0
Afonso Hamm;PP;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;604;Brasília - DF - CEP 70160-900;3215-5604;3215-2604;4;25;dep.afonsohamm@camara.leg.br;Afonso Hamm;Exmo. Senhor Deputado;JOSÉ ALFONSO EBERT HAMM;
