nome,partido,estado,voto
AJ Albuquerque,PP,CE,Sem voto
Abílio Santana,PL,BA,Sem voto
Abou Anni,PSL,SP,Sim
Acácio Favacho,PROS,AP,Sem voto
Adolfo Viana,PSDB,BA,Sem voto
Adriana Ventura,Novo,SP,Não
Adriano do Baldy,PP,GO,Sem voto
Aécio Neves,PSDB,MG,Abstenção
Aelton Freitas,PL,MG,Não
Afonso Florence,PT,BA,Não
Afonso Hamm,PP,RS,Sem voto
Afonso Motta,PDT,RS,Não
Aguinaldo Ribeiro,PP,PB,Sem voto
Airton Faleiro,PT,PA,Não
Alan Rick,DEM,AC,Sim
Alceu Moreira,MDB,RS,Sim
Alcides Rodrigues,Patriota,GO,Não
Alê Silva,PSL,MG,Sim
Alencar S. Braga,PT,SP,Não
Alessandro Molon,PSB,RJ,Não
Alex Manente,Cidadania,SP,Não
Alex Santana,PDT,BA,Sim
Alexandre Frota,PSDB,SP,Não
Alexandre Leite,DEM,SP,Não
Alexandre Padilha,PT,SP,Sem voto
Alexis Fonteyne,Novo,SP,Sim
Alice Portugal,PCdoB,BA,Não
Aliel Machado,PSB,PR,Não
Aline Gurgel,Republican,AP,Sim
Aline Sleutjes,PSL,PR,Sim
Altineu Côrtes,PL,RJ,Não
Aluisio Mendes,PSC,MA,Sim
Amaro Neto,Republican,ES,Sim
André Abdon,PP,AP,Sem voto
André Ferreira,PSC,PE,Sim
André Figueiredo,PDT,CE,Não
André Fufuca,PP,MA,Sem voto
André Janones,Avante,MG,Não
André de Paula,PSD,PE,Não
Angela Amin,PP,SC,Não
Aníbal Gomes,DEM,CE,Sem voto
Antonio Brito,PSD,BA,Não
Arlindo Chinaglia,PT,SP,Não
Arnaldo Jardim,Cidadania,SP,Não
Aroldo Martins,Republican,PR,Sim
Arthur Lira,PP,AL,Art. 17
Arthur O. Maia,DEM,BA,Sem voto
Átila Lins,PP,AM,Sim
Átila Lira,PP,PI,Não
Augusto Coutinho,Solidaried,PE,Não
Áurea Carolina,PSOL,MG,Não
Aureo Ribeiro,Solidaried,RJ,Não
Bacelar,Podemos,BA,Não
